claim_id,policy_number,member_id,member_first_name,member_last_name,member_dob,member_ssn,member_email,member_phone,member_address,member_city,member_state,member_zip,provider_id,provider_name,provider_npi,claim_type,service_date,submission_date,diagnosis_code,procedure_code,billed_amount,allowed_amount,paid_amount,patient_responsibility,claim_status,denial_reason,adjuster_id,payer_name,plan_type,network_status
CLM-100017,POL-55028,MBR-70017,Paul,Thompson,1950-12-31,778-89-9001,paul.thompson@gmail.com,(612) 555-0211,864 Dogwood Way,Minneapolis,MN,55401,PRV-2017,Mayo Clinic,7788990011,medical,2026-02-17,2026-02-20,I25.10,93458,4500.00,3600.00,2880.00,720.00,paid,,ADJ-117,Medicare,Medicare,in_network
CLM-100018,POL-55029,MBR-70018,Ashley,Garcia,1994-08-14,889-90-0112,ashley.garcia@outlook.com,(801) 555-0222,975 Hickory Pl,Salt Lake City,UT,84101,PRV-2018,Intermountain Medical,8899001122,medical,2026-02-19,2026-02-22,O26.9,76816,890.50,0.00,0.00,890.50,pending,missing_documentation,ADJ-118,SelectHealth,HMO,in_network
CLM-100019,POL-55030,MBR-70019,Steven,Lee,1972-02-06,990-01-1223,steven.lee@yahoo.com,(808) 555-0233,186 Palm Ave,Honolulu,HI,96813,PRV-2019,Queens Medical,9900112233,dental,2026-02-21,2026-02-24,K05.30,D4341,850.00,680.00,544.00,136.00,paid,,ADJ-119,Delta Dental,PPO,in_network
CLM-100020,POL-55031,MBR-70020,Karen,Walker,1981-06-19,101-12-2334,karen.walker@gmail.com,(504) 555-0244,297 Bayou Blvd,New Orleans,LA,70112,PRV-2020,Ochsner Health,1011223344,medical,2026-02-23,2026-02-27,R10.9,74177,1650.00,1320.00,1056.00,264.00,paid,,ADJ-120,Blue Cross,PPO,in_network
CLM-100021,POL-55032,MBR-70021,Brian,Hall,1987-09-02,212-23-3445,brian.hall@hotmail.com,(317) 555-0255,318 Indiana St,Indianapolis,IN,46201,PRV-2021,IU Health,2122334456,medical,2026-02-25,2026-03-01,J18.9,71046,520.00,416.00,332.80,83.20,paid,,ADJ-121,Anthem,PPO,in_network
CLM-100022,POL-55033,MBR-70022,Dorothy,Allen,1959-05-15,323-34-4556,dorothy.allen@gmail.com,(816) 555-0266,429 River Rd,Kansas City,MO,64101,PRV-2022,Saint Luke's,3233445567,vision,2026-02-27,2026-03-03,H25.13,92004,385.00,300.00,240.00,60.00,paid,,ADJ-122,EyeMed,PPO,in_network
CLM-100023,POL-55034,MBR-70023,George,Young,1979-10-28,434-45-5667,george.young@outlook.com,(314) 555-0277,530 Gateway Ave,Saint Louis,MO,63101,PRV-2023,BJC HealthCare,4344556678,medical,2026-03-01,2026-03-05,M17.11,27447,28500.00,0.00,0.00,0.00,denied,duplicate_claim,ADJ-123,Cigna,PPO,in_network
CLM-100024,POL-55035,MBR-70024,Betty,King,1948-03-11,545-56-6778,betty.king@yahoo.com,(407) 555-0288,641 Sunshine Ct,Orlando,FL,32801,PRV-2024,AdventHealth,5455667789,medical,2026-03-03,2026-03-07,E11.22,83036,175.00,140.00,112.00,28.00,paid,,ADJ-124,Medicare,Medicare,in_network
CLM-100025,POL-55036,MBR-70025,Edward,Wright,1966-07-24,656-67-7889,edward.wright@gmail.com,(513) 555-0299,752 Queen City Way,Cincinnati,OH,45202,PRV-2025,UC Health Cincinnati,6566778890,pharmacy,2026-03-05,2026-03-08,F41.1,J3490,215.25,165.00,132.00,33.00,paid,,ADJ-125,OptumRx,PPO,in_network
CLM-100026,POL-55037,MBR-70026,Helen,Scott,1997-11-07,767-78-8990,helen.scott@hotmail.com,(919) 555-0300,863 Research Dr,Raleigh,NC,27601,PRV-2026,Duke Health,7677889901,medical,2026-03-07,2026-03-11,N39.0,81001,95.00,72.00,57.60,14.40,paid,,ADJ-126,BCBS NC,HMO,in_network
CLM-100027,POL-55038,MBR-70027,Donald,Green,1974-01-20,878-89-9001,donald.green@outlook.com,(513) 555-0311,974 Ivy League Ln,Cleveland,OH,44101,PRV-2027,Cleveland Clinic,8788990012,medical,2026-03-09,2026-03-13,I48.91,93306,3200.00,2560.00,2048.00,512.00,paid,,ADJ-127,Medical Mutual,PPO,in_network
CLM-100028,POL-55039,MBR-70028,Carol,Baker,1963-05-03,989-90-0112,carol.baker@gmail.com,(901) 555-0322,185 Beale St,Memphis,TN,38103,PRV-2028,Methodist Le Bonheur,9899001123,dental,2026-03-11,2026-03-15,K12.0,D7210,1450.00,1160.00,928.00,232.00,paid,,ADJ-128,Delta Dental,PPO,in_network
CLM-100029,POL-55040,MBR-70029,Anthony,Adams,1990-08-16,191-02-3344,anthony.adams@yahoo.com,(405) 555-0333,296 Bricktown Blvd,Oklahoma City,OK,73102,PRV-2029,OU Health,1910203344,medical,2026-03-13,2026-03-17,S72.001A,27236,18500.00,14800.00,0.00,14800.00,pending,coordination_of_benefits,ADJ-129,BlueCross OK,PPO,in_network
CLM-100030,POL-55041,MBR-70030,Sharon,Nelson,1958-12-09,202-13-4455,sharon.nelson@hotmail.com,(414) 555-0344,307 Lake Dr,Milwaukee,WI,53201,PRV-2030,Froedtert Hospital,2021304455,medical,2026-03-15,2026-03-19,C50.912,19301,12500.00,10000.00,8000.00,2000.00,paid,,ADJ-130,Anthem,HMO,in_network
CLM-100031,POL-55042,MBR-70031,Mark,Hill,1985-02-22,313-24-5566,mark.hill@gmail.com,(502) 555-0355,418 Bourbon St,Louisville,KY,40202,PRV-2031,Norton Healthcare,3132405566,medical,2026-03-17,2026-03-21,R07.9,93018,680.00,544.00,435.20,108.80,paid,,ADJ-131,Humana,PPO,in_network
CLM-100032,POL-55043,MBR-70032,Cynthia,Ramirez,1992-06-05,424-35-6677,cynthia.ramirez@outlook.com,(505) 555-0366,529 Turquoise Trail,Albuquerque,NM,87101,PRV-2032,Presbyterian Health,4243506677,vision,2026-03-19,2026-03-23,H33.0,66984,4200.00,3360.00,2688.00,672.00,paid,,ADJ-132,VSP,PPO,in_network
CLM-100033,POL-55044,MBR-70033,Jason,Campbell,1971-10-18,535-46-7788,jason.campbell@yahoo.com,(916) 555-0377,630 Capitol Way,Sacramento,CA,95814,PRV-2033,UC Davis Medical,5354607788,medical,2026-03-21,2026-03-25,K80.20,47562,22800.00,0.00,0.00,0.00,denied,pre_existing_condition,ADJ-133,Blue Shield,HMO,in_network
CLM-100034,POL-55045,MBR-70034,Kathleen,Mitchell,1980-03-31,646-57-8899,kathleen.mitchell@gmail.com,(704) 555-0388,741 Queen City Ave,Charlotte,NC,28202,PRV-2034,Atrium Health,6465708899,pharmacy,2026-03-23,2026-03-26,E03.9,S0257,68.50,52.00,41.60,10.40,paid,,ADJ-134,CVS Caremark,PPO,in_network
CLM-100035,POL-55046,MBR-70035,Gary,Roberts,1953-07-13,757-68-9900,gary.roberts@hotmail.com,(410) 555-0399,852 Inner Harbor Rd,Baltimore,MD,21202,PRV-2035,Johns Hopkins,7576809900,medical,2026-03-25,2026-03-29,I63.9,70553,5800.00,4640.00,3712.00,928.00,paid,,ADJ-135,CareFirst,PPO,in_network
CLM-100036,POL-55047,MBR-70036,Rebecca,Carter,1995-11-26,868-79-0011,rebecca.carter@outlook.com,(614) 555-0410,963 Ohio State Dr,Columbus,OH,43201,PRV-2036,Ohio State Medical,8687900011,dental,2026-03-27,2026-03-31,K00.6,D8080,5200.00,4160.00,3328.00,832.00,paid,,ADJ-136,Delta Dental,PPO,in_network
CLM-100037,POL-55048,MBR-70037,Eric,Phillips,1977-04-08,979-80-1122,eric.phillips@gmail.com,(813) 555-0421,174 Bay Shore Blvd,Tampa,FL,33602,PRV-2037,Tampa General,9798001122,medical,2026-03-29,2026-04-02,J44.1,94010,1850.00,1480.00,1184.00,296.00,paid,,ADJ-137,Florida Blue,PPO,in_network
CLM-100038,POL-55049,MBR-70038,Michelle,Evans,1989-09-21,181-92-2233,michelle.evans@yahoo.com,(480) 555-0432,285 Desert Mirage,Scottsdale,AZ,85251,PRV-2038,HonorHealth,1819202233,vision,2026-03-31,2026-04-03,H00.12,67800,320.00,256.00,204.80,51.20,paid,,ADJ-138,EyeMed,PPO,in_network
CLM-100039,POL-55050,MBR-70039,Jonathan,Turner,1961-01-04,292-03-3344,jonathan.turner@hotmail.com,(916) 555-0443,396 Golden Gate Way,Oakland,CA,94607,PRV-2039,Kaiser Oakland,2920303344,medical,2026-04-02,2026-04-06,Z01.818,71045,275.00,220.00,0.00,0.00,pending,eligibility_verification,ADJ-139,Kaiser Permanente,HMO,in_network
CLM-100040,POL-55051,MBR-70040,Amy,Torres,1986-05-17,303-14-4455,amy.torres@gmail.com,(303) 555-0454,407 Mile High Ct,Aurora,CO,80010,PRV-2040,Children's Hospital Colorado,3031404455,medical,2026-04-04,2026-04-08,J06.9,87880,145.00,116.00,92.80,23.20,paid,,ADJ-140,Kaiser Permanente,HMO,in_network
CLM-100041,POL-55052,MBR-70041,Jeffrey,Parker,1968-08-30,414-25-5566,jeffrey.parker@outlook.com,(208) 555-0465,518 Snake River Rd,Boise,ID,83702,PRV-2041,St. Luke's Boise,4142505566,medical,2026-04-06,2026-04-10,N20.0,74178,2800.00,2240.00,1792.00,448.00,paid,,ADJ-141,Regence,PPO,in_network
CLM-100042,POL-55053,MBR-70042,Deborah,Collins,1954-12-12,525-36-6677,deborah.collins@yahoo.com,(207) 555-0476,629 Lighthouse Ln,Portland,ME,04101,PRV-2042,Maine Medical Center,5253606677,pharmacy,2026-04-08,2026-04-11,M06.9,J1745,3450.50,2760.00,2208.00,552.00,paid,,ADJ-142,Anthem Maine,PPO,in_network
CLM-100043,POL-55054,MBR-70043,Gregory,Edwards,1983-03-25,636-47-7788,gregory.edwards@gmail.com,(316) 555-0487,730 Plains Ave,Wichita,KS,67202,PRV-2043,Wesley Medical,6364707788,dental,2026-04-10,2026-04-14,K04.7,D3310,1680.00,1344.00,1075.20,268.80,paid,,ADJ-143,Delta Dental,PPO,in_network
CLM-100044,POL-55055,MBR-70044,Samuel,Stewart,1991-07-08,747-58-8899,samuel.stewart@hotmail.com,(402) 555-0498,841 Cornhusker Rd,Omaha,NE,68102,PRV-2044,Nebraska Medicine,7475808899,medical,2026-04-12,2026-04-16,K35.80,44970,24500.00,0.00,0.00,0.00,denied,service_not_covered,ADJ-144,BlueCross NE,PPO,out_of_network
CLM-100045,POL-55056,MBR-70045,Cheryl,Sanchez,1976-11-21,858-69-9900,cheryl.sanchez@outlook.com,(215) 555-0509,952 Liberty Bell Ln,Pittsburgh,PA,15222,PRV-2045,UPMC Presbyterian,8586909900,medical,2026-04-14,2026-04-18,I50.9,93880,1950.00,1560.00,1248.00,312.00,paid,,ADJ-145,Highmark,PPO,in_network
CLM-100046,POL-55057,MBR-70046,Raymond,Morris,1965-04-03,969-70-0011,raymond.morris@gmail.com,(804) 555-0510,163 Commonwealth Ave,Richmond,VA,23219,PRV-2046,VCU Health,9697000112,vision,2026-04-16,2026-04-20,H10.9,92012,165.00,130.00,104.00,26.00,paid,,ADJ-146,Anthem VA,PPO,in_network
CLM-100047,POL-55058,MBR-70047,Virginia,Rogers,1998-08-16,171-81-1122,virginia.rogers@yahoo.com,(757) 555-0521,274 Ocean View Dr,Virginia Beach,VA,23451,PRV-2047,Sentara Healthcare,1718101122,medical,2026-04-18,2026-04-22,O80,59400,8500.00,6800.00,5440.00,1360.00,paid,,ADJ-147,Optima Health,HMO,in_network
CLM-100048,POL-55059,MBR-70048,Larry,Reed,1972-12-29,282-92-2233,larry.reed@hotmail.com,(312) 555-0532,385 Magnificent Mile,Chicago,IL,60611,PRV-2048,Rush Medical,2829202233,pharmacy,2026-04-20,2026-04-23,G35,J2323,8750.25,7000.00,5600.00,1400.00,paid,,ADJ-148,Blue Cross,PPO,in_network
CLM-100049,POL-55060,MBR-70049,Janet,Cook,1984-06-11,393-03-3344,janet.cook@outlook.com,(615) 555-0543,496 Music Row,Nashville,TN,37203,PRV-2049,Saint Thomas Health,3930303344,dental,2026-04-22,2026-04-26,K08.1,D6010,3850.00,3080.00,2464.00,616.00,paid,,ADJ-149,Cigna Dental,PPO,in_network
CLM-100050,POL-55061,MBR-70050,Frank,Bailey,1969-10-24,404-14-4455,frank.bailey@gmail.com,(901) 555-0554,517 Graceland Way,Memphis,TN,38116,PRV-2050,Regional One,4041404455,medical,2026-04-24,2026-04-28,J20.9,71046,425.00,340.00,272.00,68.00,paid,,ADJ-150,Cigna,PPO,in_network
