order_id,customer_id,customer_email,customer_phone,credit_card_number,customer_name,order_date,ship_date,product_id,product_name,category,quantity,unit_price,discount_pct,total_amount,payment_method,order_status,shipping_address,city,state,zip_code,country
ORD-10025,CUST-523,wendy.lopez@yahoo.com,(713) 555-0177,,Wendy Lopez,2026-04-13,2026-04-16,PROD-124,Yoga Block Set,Fitness,2,22.99,0.00,45.98,debit_card,delivered,456 Houston St,Houston,TX,77001,US
ORD-10026,CUST-524,xavier.king@gmail.com,(503) 555-0199,5425-8765-4321-0987,Xavier King,2026-04-13,2026-04-17,PROD-125,Noise Cancelling Earbuds,Electronics,1,199.99,0.05,189.99,credit_card,delivered,789 Alberta St,Portland,OR,97211,US
ORD-10027,CUST-525,yara.mitchell@outlook.com,(617) 555-0122,3782-822463-10027,Yara Mitchell,2026-04-14,2026-04-16,PROD-126,French Press,Kitchen,1,29.99,0.00,29.99,credit_card,delivered,234 Commonwealth,Boston,MA,02115,US
ORD-10028,CUST-504,david.lee@gmail.com,(310) 555-0177,4716-5555-4444-3333,David Lee,2026-04-14,2026-04-18,PROD-127,Weighted Blanket,Home,1,79.99,0.10,71.99,credit_card,delivered,120 Sunset Blvd,Los Angeles,CA,90028,US
ORD-10029,CUST-526,zach.young@gmail.com,(512) 555-0144,,Zach Young,2026-04-15,,PROD-128,Camping Tent,Outdoors,1,189.95,0.00,189.95,paypal,processing,567 South Lamar,Austin,TX,78704,US
ORD-10030,CUST-527,amy.white@hotmail.com,(919) 555-0166,4532-9999-1111-2222,Amy White,2026-04-15,2026-04-18,PROD-129,Essential Oil Diffuser,Home,1,34.99,0.00,34.99,credit_card,delivered,890 Glenwood Ave,Raleigh,NC,27603,US
ORD-10031,CUST-528,brian.scott@gmail.com,(469) 555-0188,5425-2468-1357-9753,Brian Scott,2026-04-16,2026-04-19,PROD-130,Dumbbell Set,Fitness,1,149.99,0.15,127.49,credit_card,delivered,123 Elm Fork,Dallas,TX,75234,US
ORD-10032,CUST-529,cindy.hall@yahoo.com,(602) 555-0121,,Cindy Hall,2026-04-16,2026-04-20,PROD-131,Kindle Case,Accessories,2,24.99,0.00,49.98,debit_card,delivered,456 Camelback Rd,Phoenix,AZ,85012,US
ORD-10033,CUST-530,derek.green@company.com,(720) 555-0133,4716-3579-2468-1357,Derek Green,2026-04-17,,PROD-132,Ergonomic Chair,Home Office,1,599.99,0.20,479.99,credit_card,returned,789 Pearl St,Boulder,CO,80302,US
ORD-10034,CUST-531,ella.adams@gmail.com,(206) 555-0155,4532-1357-2468-3579,Ella Adams,2026-04-17,2026-04-20,PROD-133,Plant Pot Set,Home,3,18.99,0.00,56.97,credit_card,delivered,234 Queen Anne,Seattle,WA,98109,US
ORD-10035,CUST-532,fred.baker@outlook.com,(305) 555-0177,5425-3690-1470-2580,Fred Baker,2026-04-18,2026-04-21,PROD-134,Beach Towel,Outdoors,2,29.99,0.05,56.98,credit_card,delivered,567 Collins Ave,Miami,FL,33139,US
ORD-10036,CUST-505,emma.davis@hotmail.com,(617) 555-0155,3782-822463-10005,Emma Davis,2026-04-18,2026-04-22,PROD-135,Aromatherapy Candle,Home,4,14.99,0.00,59.96,paypal,delivered,33 Beacon St,Boston,MA,02108,US
ORD-10037,CUST-533,gina.hill@gmail.com,(415) 555-0199,4716-7890-1234-5678,Gina Hill,2026-04-19,2026-04-21,PROD-101,Wireless Headphones,Electronics,1,79.99,0.10,71.99,credit_card,delivered,678 Haight St,San Francisco,CA,94117,US
ORD-10038,CUST-534,hector.ramirez@yahoo.com,(212) 555-0121,,Hector Ramirez,2026-04-19,2026-04-23,PROD-136,Cutting Board Set,Kitchen,1,39.95,0.00,39.95,debit_card,delivered,432 Lexington Ave,New York,NY,10017,US
ORD-10039,CUST-535,irene.campbell@hotmail.com,(773) 555-0188,5425-0000-1111-2222,Irene Campbell,2026-04-20,,PROD-137,Fitness Tracker,Electronics,1,129.99,0.05,123.49,credit_card,processing,901 Wacker Dr,Chicago,IL,60606,US
ORD-10040,CUST-536,jake.morgan@gmail.com,(310) 555-0133,4532-4567-8901-2345,Jake Morgan,2026-04-20,2026-04-23,PROD-138,Hiking Boots,Footwear,1,179.99,0.10,161.99,credit_card,delivered,345 Wilshire Blvd,Los Angeles,CA,90010,US
ORD-10041,CUST-537,,,(invalid-cc),Missing Name,2026-04-21,2026-04-25,PROD-139,Travel Mug,Kitchen,2,16.99,0.00,33.98,credit_card,delivered,,,,,US
ORD-10042,CUST-538,kate.perry@gmail.com,(503) 555-0155,4716-2222-3333-4444,Kate Perry,2026-04-21,2026-04-24,PROD-140,Desk Organizer,Office,1,27.99,0.00,27.99,credit_card,delivered,234 Hawthorne,Portland,OR,97214,US
ORD-10043,CUST-539,luis.rivera@yahoo.com,(404) 555-0199,5425-5555-6666-7777,Luis Rivera,2026-04-22,2026-04-25,PROD-141,Wireless Mouse,Electronics,1,44.99,0.00,44.99,credit_card,delivered,567 Ponce de Leon,Atlanta,GA,30306,US
ORD-10044,CUST-540,maria.flores@outlook.com,(858) 555-0122,4532-6789-0123-4567,Maria Flores,2026-04-22,,PROD-142,Throw Pillow Set,Home,2,32.99,0.10,59.38,debit_card,processing,890 Coronado,San Diego,CA,92118,US
ORD-10045,CUST-541,nick.cooper@gmail.com,(713) 555-0144,,Nick Cooper,2026-04-23,2026-04-26,PROD-143,Jump Rope,Fitness,1,19.99,0.00,19.99,paypal,delivered,123 Montrose Blvd,Houston,TX,77006,US
ORD-10046,CUST-542,olivia.wright@company.com,(469) 555-0188,4716-6666-7777-8888,Olivia Wright,2026-04-23,2026-04-27,PROD-144,Massage Gun,Health,1,149.99,0.15,127.49,credit_card,delivered,789 Commerce St,Dallas,TX,75201,US
ORD-10047,CUST-543,pete.nelson@hotmail.com,(612) 555-0166,5425-8888-9999-0000,Pete Nelson,2026-04-24,2026-04-27,PROD-145,Camping Lantern,Outdoors,2,24.99,0.00,49.98,credit_card,delivered,456 Nicollet Mall,Minneapolis,MN,55402,US
ORD-10048,CUST-544,rachel.moore@outlook.com,INVALID_PHONE,4532-0101-0202-0303,Rachel Moore,2026-04-24,2026-04-28,PROD-146,Book Light,Accessories,3,12.99,0.00,38.97,credit_card,delivered,890 Pike St,Seattle,WA,98102,US
ORD-10049,CUST-545,steve.turner@gmail.com,(303) 555-0188,4716-4040-5050-6060,Steve Turner,2026-13-25,2026-04-28,PROD-147,Meditation Cushion,Health,1,44.99,0.05,42.74,credit_card,delivered,234 Larimer St,Denver,CO,80205,US
ORD-10050,CUST-501,alice.johnson@gmail.com,(415) 555-0122,4532-1234-5678-9012,Alice Johnson,2026-04-25,2026-04-28,PROD-101,Wireless Headphones,Electronics,1,79.99,0.25,59.99,credit_card,delivered,742 Elm St,San Francisco,CA,94102,US
