holder_name,holder_ticker,held_name,held_ticker,cusip,shares_held,market_value_usd,ownership_pct,report_date,position_type,filing_type,manager_name,contact_email
Baupost Group,BPST,Adobe Inc,ADBE,00724F101,43222290,1810117496.54,0.7471,2025-06-30,New,13F-HR,Michael Johnson,michael.johnson@baupostgro.com
Two Sigma Investments,TWSM,Intel Corp,INTC,458140100,43520768,34573054884.70,3.1556,2024-06-30,Unchanged,13F-HR,Elizabeth Moore,elizabeth.moore@twosigmain.com
T. Rowe Price,TROW,Procter & Gamble,PG,742718109,18994666,6119794877.79,0.4964,2025-06-30,Increased,13F-HR,Dorothy Johnson,dorothy.johnson@troweprice.com
Fidelity Investments,FNF,Coca-Cola Co,KO,191216100,37090990,21580396075.53,0.5263,2025-09-30,Increased,13F-HR,James Smith,james.smith@fidelityin.com
Fidelity Investments,FNF,Johnson & Johnson,JNJ,478160104,7242652,2116752948.06,0.1300,2025-03-31,New,13F-HR,Nancy Garcia,nancy.garcia@fidelityin.com
Goldman Sachs AM,GS,Berkshire Hathaway,BRK.B,084670702,17878210,11189651280.38,0.2891,2024-06-30,New,13F-HR,Susan Williams,susan.williams@goldmansac.com
Bridgewater Associates,BWTR,Alphabet Inc,GOOGL,02079K305,N/A,29291850553.97,0.5243,2024-06-30,Unchanged,13F-HR,Sarah Martinez,sarah.martinez@bridgewate.com
Point72 Asset Mgmt,PT72,Bank of America,BAC,060505104,24323339,12881575715.51,0.7848,2024-06-30,Increased,13F-NT,Steven Hernandez,steven.hernandez@point72ass.com
DE Shaw & Co,DSHW,Johnson & Johnson,JNJ,478160104,10607471,4971325783.10,0.3276,2024-09-30,Unchanged,13F-HR,William Lopez,william.lopez@deshaw&co.com
Point72 Asset Mgmt,PT72,Home Depot,HD,437076102,37161595,2510909452.61,0.5755,2024-12-31,Unchanged,13F-HR,Nancy Hernandez,nancy.hernandez@point72ass.com
AQR Capital Management,AQRC,Intel Corp,INTC,458140100,13692837,3314628017.62,0.1768,2026-07-23,Increased,13F-HR,Lisa Johnson,lisa.johnson@aqrcapital.com
Wellington Management,WMGI,Bank of America,BAC,060505104,6077039,1090802546.64,0.1836,2024-06-30,Increased,13F-HR,Jennifer Martin,jennifer.martin@wellington.com
Two Sigma Investments,TWSM,Amazon.com Inc,AMZN,023135106,25689189,15163536563.84,0.6716,2024-03-31,Increased,13F-HR,Robert Johnson,robert.johnson@twosigmain.com
DE Shaw & Co,DSHW,Pfizer Inc,PFE,717081103,10535333,7968654676.70,0.1651,2024-03-31,Unchanged,13F-HR,David Lopez,david.lopez@deshaw&co.com
Wellington Management,WMGI,NVIDIA Corp,NVDA,67066G104,49629984,4460065626.55,0.8866,2024-06-30,Increased,13F-HR,Sarah Johnson,sarah.johnson@wellington.com
DE Shaw & Co,DSHW,Chevron Corp,CVX,166764100,19126887,5328141958.33,1.0968,2024-06-30,Unchanged,13F-HR,Elizabeth Davis,elizabeth.davis@deshaw&co.com
Citadel Advisors,CDLC,Johnson & Johnson,JNJ,478160104,23814309,11673626515.12,0.6055,2024-06-30,Unchanged,13F-HR,James Lopez,james.lopez@citadeladv.com
Morgan Stanley IM,MS,Berkshire Hathaway,BRK.B,084670702,48414572,8240922630.27,0.9120,2024-06-30,Increased,13F-HR,Margaret Garcia,margaret.garcia@morganstan.com
Citadel Advisors,CDLC,Home Depot,HD,437076102,47575620,3340962379.78,0.7960,2025-09-30,Increased,13F-HR,Sarah Rodriguez,sarah.rodriguez@citadeladv.com
Renaissance Technologies,RNTC,Chevron Corp,CVX,166764100,11904154,5299126280.06,0.8752,2025-06-30,Decreased,13F-HR,Mark Williams,mark.williams@renaissanc.com
Bridgewater Associates,BWTR,Home Depot,HD,437076102,36471506,4320340638.84,0.6320,2024-03-31,New,13F-NT,Steven Brown,steven.brown@bridgewate.com
Bridgewater Associates,BWTR,Alphabet Inc,GOOGL,02079K305,35511676,5172622746.46,0.5404,2024-09-30,Decreased,13F-HR,Jennifer Hernandez,jennifer.hernandez@bridgewate.com
DE Shaw & Co,DSHW,UnitedHealth Group,UNH,91324P102,29480084,15613753810.76,4.2764,2024-06-30,Decreased,13F-HR,Margaret Williams,margaret.williams@deshaw&co.com
Baupost Group,BPST,Walt Disney Co,DIS,254687106,46613410,13838054208.99,1.5188,2025-03-31,New,13F-HR,David Martin,david.martin@baupostgro.com
T. Rowe Price,TROW,Adobe Inc,ADBE,00724F101,34738894,12394537890.35,0.7633,2025-09-30,Unchanged,13F-NT,James Miller,james.miller@troweprice.com
State Street Corp,STT,Coca-Cola Co,KO,191216100,6503609,3600881097.29,0.1173,2025-09-30,Increased,13F-HR,David Taylor,david.taylor@statestree.com
Wellington Management,WMGI,Tesla Inc,TSLA,88160R101,25031117,8049263760.72,0.3438,2024-12-31,Increased,13F-HR,Karen Brown,karen.brown@wellington.com
BlackRock Inc,BLK,Coca-Cola Co,KO,191216100,32299315,7219062276.09,0.5061,2024-12-31,New,13F-NT,Nancy Moore,nancy.moore@blackrocki.com
Fidelity Investments,FNF,Amazon.com Inc,AMZN,023135106,30560946,21344913661.76,0.4195,2024-12-31,Decreased,13F-HR,Margaret Rodriguez,margaret.rodriguez@fidelityin.com
BlackRock Inc,BLK,Chevron Corp,CVX,166764100,34496808,13235636800.85,0.5591,2024-06-30,Decreased,13F-HR,Margaret Johnson,margaret.johnson@blackrocki.com
Point72 Asset Mgmt,PT72,Walt Disney Co,DIS,254687106,40720104,17297659636.03,1.9000,2025-09-30,Unchanged,13F-HR,Dorothy Brown,dorothy.brown@point72ass.com
Wellington Management,WMGI,Pfizer Inc,PFE,717081103,43724761,32242728649.20,0.8353,2024-03-31,Increased,13F-HR,Richard Davis,richard.davis@wellington.com
Capital Group,CGBL,Apple Inc,AAPL,037833100,2887288,408942907.85,0.1588,2024-03-31,Increased,13F-HR,Lisa White,lisa.white@capitalgro.com
State Street Corp,STT,Pfizer Inc,PFE,717081103,30059343,19042892413.23,5.2473,2024-06-30,Increased,13F-HR,Sarah Davis,sarah.davis@statestree.com
Millennium Management,MLNM,Tesla Inc,TSLA,88160R101,pending,7315915053.87,0.6338,2025-12-31,Increased,13F-HR,Mark Davis,mark.davis@millennium.com
JP Morgan Asset Mgmt,JPM,Johnson & Johnson,JNJ,478160104,24506394,14318005100.50,0.4256,2025-09-30,Increased,13F-HR,Mark Miller,mark.miller@jpmorganas.com
Renaissance Technologies,RNTC,Microsoft Corp,MSFT,594918104,12269299,2383552622.02,0.1680,2025-03-31,Increased,13F-HR,Karen Davis,karen.davis@renaissanc.com
Capital Group,CGBL,Exxon Mobil,XOM,30231G102,35477345,9390209391.20,0.5684,2024-12-31,Increased,13F-HR,David Rodriguez,david.rodriguez@capitalgro.com
Two Sigma Investments,TWSM,Meta Platforms,META,30303M102,19484519,15224812814.50,0.3356,2024-03-31,Decreased,13F-NT,Steven Davis,steven.davis@twosigmain.com
Wellington Management,WMGI,Johnson & Johnson,JNJ,478160104,23641978,8187889614.33,0.5628,2025-12-31,Increased,13F-HR,David Jones,david.jones@wellington.com
Two Sigma Investments,TWSM,Netflix Inc,NFLX,64110L106,37983995,29715517198.02,0.8112,2025-06-30,Increased,13F-HR,Nancy Johnson,nancy.johnson@twosigmain.com
Goldman Sachs AM,GS,Adobe Inc,ADBE,00724F101,23560111,13993473736.65,0.3094,2024-09-30,Increased,13F-HR,Steven Miller,steven.miller@goldmansac.com
Capital Group,CGBL,Berkshire Hathaway,BRK.B,084670702,19682007,13547642389.84,1.8466,2025-03-31,New,13F-HR,Thomas Jones,thomas.jones@capitalgro.com
Millennium Management,MLNM,Adobe Inc,ADBE,00724F101,29821740,14775915986.63,0.5190,2024-12-31,Increased,13F-NT,Margaret Anderson,margaret.anderson@millennium.com
Vanguard Group,VGI,Adobe Inc,ADBE,00724F101,38711061,24768714567.71,2.9652,2025-03-31,New,13F-HR,Margaret Davis,margaret.davis@vanguardgr.com
Goldman Sachs AM,GS,Intel Corp,INTC,458140100,17821053,3230731173.38,0.3145,2024-12-31,Decreased,13F-HR,Lisa Lopez,lisa.lopez@goldmansac.com
T. Rowe Price,TROW,NVIDIA Corp,NVDA,67066G104,8401286,4937120606.42,0.2513,2024-03-31,Increased,13F-HR,Michael Miller,michael.miller@troweprice.com
DE Shaw & Co,DSHW,Salesforce Inc,CRM,79466L302,6442807,4289570663.05,0.1029,2025-12-31,Increased,13F-HR,Margaret Jones,margaret.jones@deshaw&co.com
BlackRock Inc,BLK,Procter & Gamble,PG,742718109,20522928,10030407034.05,0.5408,2025-03-31,Unchanged,13F-HR,Susan Garcia,susan.garcia@blackrocki.com
Baupost Group,BPST,Exxon Mobil,XOM,30231G102,8151518,1766072041.57,0.1246,2024-06-30,Unchanged,13F-HR,James Smith,james.smith@baupostgro.com
Two Sigma Investments,TWSM,Apple Inc,AAPL,037833100,38580003,9613162764.93,0.5162,2025-09-30,New,13F-HR,Daniel Smith,daniel.smith@twosigmain.com
Goldman Sachs AM,GS,JPMorgan Chase,JPM,46625H100,284057,160732668.88,0.0051,2024-03-31,Increased,13F-HR,Steven Hernandez,steven.hernandez@goldmansac.com
Capital Group,CGBL,Alphabet Inc,GOOGL,02079K305,347546,162206844.30,0.0054,2024-03-31,Decreased,13F-HR,Margaret Williams,margaret.williams@capitalgro.com
Two Sigma Investments,TWSM,Chevron Corp,CVX,166764100,31717490,13725050047.57,0.4106,2024-06-30,New,13F-HR,Karen Lopez,karen.lopez@twosigmain.com
Millennium Management,MLNM,Microsoft Corp,MSFT,594918104,29277689,6365333197.19,0.7203,2025-06-30,Decreased,13F-HR,Nancy Anderson,nancy.anderson@millennium.com
Wellington Management,WMGI,Amazon.com Inc,AMZN,023135106,1880508,741623100.44,0.0474,2024-06-30,Decreased,13F-HR,Susan Anderson,susan.anderson@wellington.com
Fidelity Investments,FNF,Chevron Corp,CVX,166764100,37141193,14131299107.61,0.5039,2024-09-30,Unchanged,13F-HR,David Rodriguez,david.rodriguez@fidelityin.com
Wellington Management,WMGI,Meta Platforms,META,30303M102,17014332,11350115490.61,2.1325,2025-12-31,Unchanged,13F-HR,Sarah Martin,sarah.martin@wellington.com
State Street Corp,STT,Amazon.com Inc,AMZN,023135106,8159759,5592401993.36,0.1697,2024-09-30,Decreased,13F-HR,Lisa Williams,lisa.williams@statestree.com
Capital Group,CGBL,Meta Platforms,META,30303M102,11436528,4706805145.35,0.1537,2025-09-30,New,13F-HR,Michael Taylor,michael.taylor@capitalgro.com
T. Rowe Price,TROW,Adobe Inc,ADBE,00724F101,7676316,632346000.41,0.1134,2025-12-31,Increased,13F-HR,William Lopez,william.lopez@troweprice.com
DE Shaw & Co,DSHW,Amazon.com Inc,AMZN,023135106,31476112,3899885558.48,0.5091,2024-03-31,Increased,13F-HR,Daniel Miller,daniel.miller@deshaw&co.com
Vanguard Group,VGI,UnitedHealth Group,UNH,91324P102,37772940,2476608612.17,0.5848,2024-03-31,Increased,13F-HR,Susan Brown,susan.brown@vanguardgr.com
Wellington Management,WMGI,Procter & Gamble,PG,742718109,pending,1009325773.35,0.3157,2025-03-31,Increased,13F-NT,Sarah Smith,sarah.smith@wellington.com
Vanguard Group,VGI,Pfizer Inc,PFE,717081103,18614872,5314579440.30,0.2483,2024-12-31,Increased,13F-HR,Jennifer Johnson,jennifer.johnson@vanguardgr.com
Baupost Group,BPST,Visa Inc,V,92826C839,36311159,15089872147.42,0.5573,2025-09-30,Unchanged,13F-HR,Patricia Lopez,patricia.lopez@baupostgro.com
Fidelity Investments,FNF,Visa Inc,V,92826C839,6919270,2187172007.06,0.1665,2024-03-31,Increased,13F-NT,Susan Jones,susan.jones@fidelityin.com
Millennium Management,MLNM,Amazon.com Inc,AMZN,023135106,15617813,3447654627.55,1.1349,2099-13-45,New,13F-HR,Steven Anderson,steven.anderson@millennium.com
State Street Corp,STT,Johnson & Johnson,JNJ,478160104,30991327,5617525914.85,0.4171,2025-03-31,Increased,13F-HR,,
BlackRock Inc,BLK,NVIDIA Corp,NVDA,67066G104,20185498,1816246317.22,0.5768,2024-06-30,Decreased,13F-HR,Richard Thompson,richard.thompson@blackrocki.com
State Street Corp,STT,Pfizer Inc,PFE,717081103,771362,531808517.61,0.0135,2024-06-30,New,13F-NT,Margaret White,margaret.white@statestree.com
Baupost Group,BPST,JPMorgan Chase,JPM,46625H100,9406649,1274212444.56,0.5410,2024-03-31,Unchanged,13F-HR,Lisa Taylor,lisa.taylor@baupostgro.com
Vanguard Group,VGI,Meta Platforms,META,30303M102,19802547,11272490760.45,0.2953,2025-06-30,Increased,13F-HR,Daniel Johnson,daniel.johnson@vanguardgr.com
BlackRock Inc,BLK,Netflix Inc,NFLX,64110L106,43038854,13059057712.39,0.9992,2025-09-30,New,13F-HR,Mark Rodriguez,mark.rodriguez@blackrocki.com
Renaissance Technologies,RNTC,Cisco Systems,CSCO,17275R102,24100431,13709188051.69,0.8219,2025-09-30,Decreased,13F-HR,Susan Hernandez,susan.hernandez@renaissanc.com
Goldman Sachs AM,GS,Amazon.com Inc,AMZN,023135106,33033346,16705388512.04,0.4572,2024-12-31,Unchanged,13F-HR,Nancy Williams,nancy.williams@goldmansac.com
Millennium Management,MLNM,Apple Inc,AAPL,037833100,23250922,10341895006.97,0.4528,2025-06-30,Unchanged,13F-HR,David Anderson,david.anderson@millennium.com
T. Rowe Price,TROW,Microsoft Corp,MSFT,594918104,48416334,16007870352.44,0.7056,2024-12-31,Increased,13F-NT,William Martinez,william.martinez@troweprice.com
Capital Group,CGBL,NVIDIA Corp,NVDA,67066G104,33659419,16994333391.64,4.9328,2025-03-31,New,13F-NT,Daniel Martin,daniel.martin@capitalgro.com
Citadel Advisors,CDLC,Meta Platforms,META,30303M102,19357930,11574151747.52,2.1235,2024-09-30,Unchanged,13F-HR,Richard Smith,richard.smith@citadeladv.com
Point72 Asset Mgmt,PT72,Exxon Mobil,XOM,30231G102,928772,217282304.90,0.0119,2024-12-31,Increased,13F-HR,William Rodriguez,william.rodriguez@point72ass.com
Goldman Sachs AM,GS,Amazon.com Inc,AMZN,023135106,17967696,4194735724.04,0.3180,2024-09-30,Increased,13F-NT,Michael Taylor,michael.taylor@goldmansac.com
Baupost Group,BPST,Visa Inc,V,92826C839,9462359,6567026690.50,0.1562,2024-03-31,Unchanged,13F-HR,Robert Brown,robert.brown@baupostgro.com
BlackRock Inc,BLK,Amazon.com Inc,AMZN,023135106,18751728,7141956267.94,0.6108,2025-12-31,New,13F-HR,Lisa Brown,lisa.brown@blackrocki.com
AQR Capital Management,AQRC,Amazon.com Inc,AMZN,023135106,30012910,9262183396.42,1.9276,2024-03-31,Decreased,13F-HR,William Davis,william.davis@aqrcapital.com
DE Shaw & Co,DSHW,JPMorgan Chase,JPM,46625H100,15979214,567265263.22,0.2522,2024-03-31,New,13F-NT,Margaret Jackson,margaret.jackson@deshaw&co.com
Baupost Group,BPST,Coca-Cola Co,KO,191216100,25330552,9896076419.50,0.3211,2025-06-30,Increased,13F-NT,Dorothy Jones,dorothy.jones@baupostgro.com
BlackRock Inc,BLK,Cisco Systems,CSCO,17275R102,49568207,2286470746.19,2.1964,2025-03-31,Increased,13F-NT,Daniel Taylor,daniel.taylor@blackrocki.com
State Street Corp,STT,Microsoft Corp,MSFT,594918104,25143855,10284004049.91,1.8385,2024-09-30,Increased,13F-HR,Daniel Miller,daniel.miller@statestree.com
Bridgewater Associates,BWTR,Visa Inc,V,92826C839,9830015,6858472133.89,0.6689,2025-03-31,Unchanged,13F-HR,James Brown,james.brown@bridgewate.com
JP Morgan Asset Mgmt,JPM,Visa Inc,V,92826C839,26359117,2977282699.56,1.5274,2025-03-31,Unchanged,13F-NT,James Moore,james.moore@jpmorganas.com
Baupost Group,BPST,Chevron Corp,CVX,166764100,5348475,807673222.22,0.7691,2024-09-30,Unchanged,13F-NT,Lisa Brown,lisa.brown@baupostgro.com
Wellington Management,WMGI,Coca-Cola Co,KO,191216100,13851732,4584383592.04,0.1899,2025-06-30,Unchanged,13F-HR,Margaret Brown,margaret.brown@wellington.com
AQR Capital Management,AQRC,Bank of America,BAC,060505104,26862809,3267285210.02,0.3378,2025-03-31,Increased,13F-HR,Karen Martinez,karen.martinez@aqrcapital.com
Wellington Management,WMGI,Intel Corp,INTC,458140100,16651324,8468451561.68,0.4252,2024-03-31,Decreased,13F-NT,Thomas Martin,thomas.martin@wellington.com
BlackRock Inc,BLK,Chevron Corp,CVX,166764100,6109896,3895614471.01,0.1887,2024-03-31,Increased,13F-HR,Nancy Thompson,nancy.thompson@blackrocki.com
Goldman Sachs AM,GS,Exxon Mobil,XOM,30231G102,48706153,33502786809.84,1.0596,2025-09-30,Unchanged,13F-HR,James Williams,james.williams@goldmansac.com
Capital Group,CGBL,Home Depot,HD,437076102,42867170,26824926638.18,1.9619,2024-06-30,Unchanged,13F-HR,Mark Rodriguez,mark.rodriguez@capitalgro.com
Point72 Asset Mgmt,PT72,Walt Disney Co,DIS,254687106,32201488,6367603640.87,0.6615,2025-06-30,Increased,13F-HR,Lisa Anderson,lisa.anderson@point72ass.com
BlackRock Inc,BLK,Johnson & Johnson,JNJ,478160104,1992200,1388099095.56,-0.1171,2024-03-31,Increased,13F-HR,Steven Johnson,steven.johnson@blackrocki.com
Capital Group,CGBL,Coca-Cola Co,KO,191216100,46702868,7015283861.19,1.1332,2025-12-31,Decreased,13F-HR,James Jackson,james.jackson@capitalgro.com
Bridgewater Associates,BWTR,Home Depot,HD,437076102,9570078,6926380657.83,0.1324,2024-06-30,New,13F-NT,Mark Anderson,mark.anderson@bridgewate.com
Morgan Stanley IM,MS,Alphabet Inc,GOOGL,02079K305,16326702,2369428927.71,0.4529,2024-06-30,New,13F-HR,Susan Martin,susan.martin@morganstan.com
Appaloosa Management,APLS,Pfizer Inc,PFE,717081103,23660296,4851319189.54,0.3141,2025-09-30,Increased,13F-HR,Jennifer White,jennifer.white@appaloosam.com
Baupost Group,BPST,NVIDIA Corp,NVDA,67066G104,28766379,5437259833.54,0.4385,2025-03-31,Increased,13F-HR,Dorothy Jackson,dorothy.jackson@baupostgro.com
Vanguard Group,VGI,Netflix Inc,NFLX,64110L106,11162686,8595057684.79,0.1401,2024-12-31,New,13F-HR,Richard Moore,richard.moore@vanguardgr.com
Capital Group,CGBL,NVIDIA Corp,NVDA,67066G104,9712835,1150748580.53,0.1619,2025-03-31,Decreased,13F-NT,Margaret Miller,margaret.miller@capitalgro.com
Point72 Asset Mgmt,PT72,Netflix Inc,NFLX,64110L106,20040380,11099209069.26,0.7801,2025-03-31,Increased,13F-HR,William Rodriguez,william.rodriguez@point72ass.com
Two Sigma Investments,TWSM,Chevron Corp,CVX,166764100,18644744,5053285252.46,0.3008,2025-03-31,New,13F-HR,Steven Thompson,steven.thompson@twosigmain.com
Two Sigma Investments,TWSM,Cisco Systems,CSCO,17275R102,6429322,5127830903.51,0.1487,2024-03-31,Decreased,13F-HR,Sarah Thomas,sarah.thomas@twosigmain.com
Point72 Asset Mgmt,PT72,Exxon Mobil,XOM,30231G102,38016593,9138848677.87,0.5224,2025-03-31,Increased,13F-HR,Dorothy Thomas,dorothy.thomas@point72ass.com
State Street Corp,STT,JPMorgan Chase,JPM,46625H100,32710450,25846957859.35,0.9875,2025-03-31,Increased,13F-HR,Richard Jackson,richard.jackson@statestree.com
Citadel Advisors,CDLC,Meta Platforms,META,30303M102,TBD,22111651666.41,0.5626,2025-12-31,New,13F-HR,Sarah Thomas,sarah.thomas@citadeladv.com
Appaloosa Management,APLS,NVIDIA Corp,NVDA,67066G104,43550106,21571769888.28,4.4300,2025-09-30,New,13F-HR,William Davis,william.davis@appaloosam.com
Morgan Stanley IM,MS,Pfizer Inc,PFE,717081103,14718618,3155474521.23,0.4208,2025-06-30,Unchanged,13F-HR,Sarah Martinez,sarah.martinez@morganstan.com
Baupost Group,BPST,Visa Inc,V,92826C839,7164441,1142842241.16,0.1087,00-00-0000,Increased,13F-HR,Nancy Davis,nancy.davis@baupostgro.com
Citadel Advisors,CDLC,NVIDIA Corp,NVDA,67066G104,23630433,1636966473.35,0.4193,2024-06-30,Unchanged,13F-HR,,
Morgan Stanley IM,MS,Procter & Gamble,PG,742718109,20547128,1570807685.22,0.5521,2025-06-30,Unchanged,13F-NT,Margaret Anderson,margaret.anderson@morganstan.com
JP Morgan Asset Mgmt,JPM,NVIDIA Corp,NVDA,67066G104,30802097,5025702536.66,0.6941,2025-09-30,Increased,13F-HR,Daniel White,daniel.white@jpmorganas.com
Citadel Advisors,CDLC,Chevron Corp,CVX,166764100,19728805,3344115390.46,0.5432,2024-09-30,Unchanged,13F-HR,Michael Martin,michael.martin@citadeladv.com
JP Morgan Asset Mgmt,JPM,Chevron Corp,CVX,166764100,14282646,4559807278.38,-0.2885,2025-12-31,Unchanged,13F-HR,Steven Garcia,steven.garcia@jpmorganas.com
Bridgewater Associates,BWTR,Netflix Inc,NFLX,64110L106,23942497,14903109339.91,1.3466,2024-12-31,New,13F-HR,Nancy Martinez,nancy.martinez@bridgewate.com
T. Rowe Price,TROW,Pfizer Inc,PFE,717081103,27538714,12435707404.33,0.3807,2025-09-30,Unchanged,13F-HR,Nancy Rodriguez,nancy.rodriguez@troweprice.com
Two Sigma Investments,TWSM,Johnson & Johnson,JNJ,478160104,5233228,2492744389.61,0.1408,2025-03-31,Decreased,13F-HR,Michael Jones,michael.jones@twosigmain.com
Millennium Management,MLNM,Alphabet Inc,GOOGL,02079K305,45649874,7737035651.93,0.8787,2024-06-30,Increased,13F-HR,Mark Martinez,mark.martinez@millennium.com
Renaissance Technologies,RNTC,Tesla Inc,TSLA,88160R101,268291,72700710.20,0.0384,2024-06-30,Increased,13F-NT,Sarah Rodriguez,sarah.rodriguez@renaissanc.com
State Street Corp,STT,Meta Platforms,META,30303M102,38631060,5597422753.02,0.7477,2024-03-31,Unchanged,13F-HR,William Martin,william.martin@statestree.com
Baupost Group,BPST,Exxon Mobil,XOM,30231G102,17454361,2159609347.95,-0.4781,2025-12-31,Increased,13F-HR,Sarah White,sarah.white@baupostgro.com
Baupost Group,BPST,Cisco Systems,CSCO,17275R102,25872421,9367414516.93,0.3553,2025-12-31,Increased,13F-HR,Nancy Miller,nancy.miller@baupostgro.com
JP Morgan Asset Mgmt,JPM,Salesforce Inc,CRM,79466L302,12666212,6702768001.13,0.2963,2024-12-31,Increased,13F-HR,Jennifer Taylor,jennifer.taylor@jpmorganas.com
Wellington Management,WMGI,Walt Disney Co,DIS,254687106,46113702,11045725268.28,2.6351,2024-03-31,Increased,13F-HR,Steven Rodriguez,steven.rodriguez@wellington.com
Millennium Management,MLNM,Johnson & Johnson,JNJ,478160104,42190990,20538079010.00,0.7284,2024-06-30,New,13F-NT,Steven Martinez,steven.martinez@millennium.com
Renaissance Technologies,RNTC,Johnson & Johnson,JNJ,478160104,1322670,615589267.04,0.0224,2024-12-31,Unchanged,13F-NT,Patricia White,patricia.white@renaissanc.com
Morgan Stanley IM,MS,Pfizer Inc,PFE,717081103,22443295,5776864231.98,0.4307,2025-06-30,Increased,13F-HR,James Thompson,james.thompson@morganstan.com
Vanguard Group,VGI,JPMorgan Chase,JPM,46625H100,1757549,1114762046.26,0.0424,2024-09-30,Increased,13F-HR,James Smith,james.smith@vanguardgr.com
Fidelity Investments,FNF,Apple Inc,AAPL,037833100,39378855,2132969648.14,0.7426,2024-12-31,Increased,13F-HR,Sarah Johnson,sarah.johnson@fidelityin.com
Bridgewater Associates,BWTR,Intel Corp,INTC,458140100,40480151,14546535360.37,0.7796,2024-12-31,Unchanged,13F-NT,Mark Johnson,mark.johnson@bridgewate.com
Renaissance Technologies,RNTC,Pfizer Inc,PFE,717081103,40974861,22588679426.91,1.2465,2024-09-30,Increased,13F-HR,Daniel Lopez,daniel.lopez@renaissanc.com
State Street Corp,STT,Microsoft Corp,MSFT,594918104,3163217,2353269301.63,0.0750,2025-03-31,New,13F-NT,Patricia Jackson,patricia.jackson@statestree.com
AQR Capital Management,AQRC,Bank of America,BAC,060505104,29280465,10910654156.88,1.1203,2025-03-31,Increased,13F-HR,James Thompson,james.thompson@aqrcapital.com
Bridgewater Associates,BWTR,UnitedHealth Group,UNH,91324P102,41649577,17513728478.54,1.0818,2025-12-31,Decreased,13F-HR,Jennifer Williams,jennifer.williams@bridgewate.com
State Street Corp,STT,Home Depot,HD,437076102,37569350,29638297796.60,0.8679,2025-09-30,Increased,13F-HR,Robert White,robert.white@statestree.com
Fidelity Investments,FNF,Adobe Inc,ADBE,00724F101,42617910,21938159197.63,1.3508,2024-09-30,Unchanged,13F-HR,Richard Thompson,richard.thompson@fidelityin.com
T. Rowe Price,TROW,Tesla Inc,TSLA,88160R101,3655741,1904508196.40,0.3662,2025-06-30,Unchanged,13F-HR,Sarah Moore,sarah.moore@troweprice.com
Renaissance Technologies,RNTC,Johnson & Johnson,JNJ,478160104,36855760,24844895347.25,0.5776,2024-03-31,Decreased,13F-HR,Margaret Smith,margaret.smith@renaissanc.com
Baupost Group,BPST,Pfizer Inc,PFE,717081103,23933316,12024421385.43,0.3327,2025-06-30,Unchanged,13F-HR,Richard Williams,richard.williams@baupostgro.com
