buyer_name,buyer_ticker,supplier_name,supplier_ticker,relationship_type,supply_concentration_pct,product_category,effective_date,contract_value_usd,supplier_address,contact_email
Coca-Cola Co,KO,,,Logistics Partner,4.72,Express Delivery,2022-06-12,1770247.09,"5175 Escobar Mission, West James, GA 62565",heather.smith@fedexcorp.com
AMD Inc,AMD,DHL Express,DHL.DE,Logistics Partner,-48.38,International Shipping,2025-11-22,6386930.48,"Unit 2705 Box 8772, DPO AE 09094",kyle.alexander@dhlexpress.com
Johnson & Johnson,JNJ,Lonza Group,LONN.SW,Contract Manufacturer,10.08,Drug Substance,2025-10-09,7617309.26,"01388 Michael Freeway, North Kelli, WA 26320",juan.brown@lonzagroup.com
AMD Inc,AMD,Initech Solutions,INIT,Service Provider,2.84,Consulting,2023-03-24,2152486.45,"485 Amy Loop, Griffinbury, WY 65587",matthew.west@accentureplc.com
PepsiCo Inc,PEP,ServiceNow Inc,NOW,Service Provider,4.24,IT Service Management,2024-02-20,8364798.32,,
Merck & Co,MRK,Deloitte,DLT,Service Provider,11.35,Audit,2023-07-24,1906396.12,,
Procter & Gamble,PG,,,Service Provider,5.76,Audit,2024-10-15,2346676.84,"45024 Jennifer Ford, Jonesmouth, UT 70091",mark.nichols@deloitte.com
Broadcom Inc,AVGO,Tokyo Electron,8035.T,Direct Supplier,347.68,Coater/Developer,2023-03-09,2683228.95,"167 Cynthia Garden Suite 266, South Vickifort, OR 53035",steven.erickson@tokyoelectro.com
Eli Lilly,LLY,FedEx Corp,FDX,Logistics Partner,5.64,Express Delivery,2025-11-26,9734241.35,"163 Madeline Manors Suite 897, Lake Stephanieton, AR 12362",heidi.flores@fedexcorp.com
Meta Platforms Inc,META,Workday Inc,WDAY,Service Provider,16.01,HR Software,2025-10-30,3978097.84,"614 William Flats Apt. 674, Lake Amber, PA 41523",brittany.johnson@workdayinc.com
General Electric,GE,SAP SE,SAP,Service Provider,16.48,ERP,2022-11-19,9418921.37,"10932 Mathew Radial Suite 176, North Coleport, NY 31195",joseph.garcia@sapse.com
Meta Platforms Inc,META,SAP SE,SAP,Service Provider,13.09,Business Software,2022-06-16,9379401.39,,
Boeing Co,BA,Acme Widget Corp,ACME,Service Provider,5.57,ERP,2022-11-01,7047184.41,"0731 Miller Plains Apt. 112, Port Jamesfurt, NM 24068",gary.hernandez@sapse.com
Oracle Corp,ORCL,Amazon Web Services,AMZN,Service Provider,19.7,Cloud Infrastructure,2025-07-31,3991057.49,"233 Kevin Lane Suite 185, Amandashire, NE 51496",mark.richardson@amazonwebser.com
Costco Wholesale,COST,Iron Mountain,IRM,Service Provider,465.3,Data Storage,2023-04-27,3649008.84,"05986 Contreras Manor Suite 714, Lake Jason, NE 03643",stephen.ayers@ironmountain.com
Qualcomm Inc,QCOM,Accenture plc,ACN,Service Provider,4.79,Consulting,2023-04-24,8567329.11,"52135 Palmer Springs, Jorgeburgh, AK 53505",christopher.aguirre@accentureplc.com
Merck & Co,MRK,IBM Corp,IBM,Service Provider,2.99,IT Infrastructure,2024-10-23,2057046.62,"766 Roberta Crossroad, West Edwinchester, NJ 26974",zachary.smith@ibmcorp.com
JPMorgan Chase,JPM,UPS Inc,UPS,Logistics Partner,5.83,Supply Chain,2025-04-22,606457.76,"0061 Mason Orchard, Teresaberg, IA 41553",maria.bates@upsinc.com
Procter & Gamble,PG,Accenture plc,ACN,Service Provider,12.87,Consulting,2022-12-08,6261438.11,"9542 Gary Lights Suite 011, Griffinville, DE 57256",nicole.davis@accentureplc.com
Intel Corp,INTC,Applied Materials,AMAT,Direct Supplier,7.89,Deposition Equipment,2023-03-15,689077.06,"32370 Spencer Land, Laraside, DC 80710",sara.little@appliedmater.com
Walt Disney Co,DIS,FedEx Corp,FDX,Logistics Partner,19.58,Express Delivery,2022-04-17,8412144.06,,
Eli Lilly,LLY,,,Direct Supplier,6.92,Biopharma Materials,2024/31/12,3477186.06,,jillian.johnson@avantorinc.com
Costco Wholesale,COST,ServiceNow Inc,NOW,Service Provider,12.0,IT Service Management,2025-09-04,6478209.7,"9220 Alejandro Hollow Suite 964, Hickmanberg, VA 80577",justin.mckinney@servicenowin.com
Salesforce Inc,CRM,Snowflake Inc,SNOW,Service Provider,3.96,Data Warehousing,2022-06-25,1168098.82,"182 Jones Stravenue, Lake Kathleenmouth, GA 89805",melissa.harris@snowflakeinc.com
Walt Disney Co,DIS,Deloitte,DLT,Service Provider,5.79,Audit,2024-04-11,7993296.11,,thomas.mccormick@deloitte.com
Procter & Gamble,PG,IBM Corp,IBM,Service Provider,17.42,Cloud,2022-08-21,7930567.35,"34243 Rivera Ford, South Katrinaberg, PR 73934",john.johnson@ibmcorp.com
General Electric,GE,Deloitte,DLT,Service Provider,19.98,Consulting,2024-12-31,1732315.44,,vincent.fischer@deloitte.com
Cisco Systems,CSCO,Workday Inc,WDAY,Service Provider,11.29,Finance,2023-05-08,5896731.56,"6322 Washington Cliffs Apt. 178, Danielstad, PA 93748",monica.miller@workdayinc.com
Caterpillar Inc,CAT,SAP SE,SAP,Service Provider,18.9,ERP,2025-03-15,3359610.48,"30144 Hill Coves Suite 294, Lake Brianchester, NM 43506",lisa.williams@sapse.com
Chevron Corp,CVX,ServiceNow Inc,NOW,Service Provider,11.14,IT Service Management,2022-12-16,6135773.8,,laurie.pearson@servicenowin.com
General Motors,GM,Accenture plc,ACN,Service Provider,4.51,IT Services,2025-02-25,7085987.09,"233 Abigail Drives Apt. 020, West Richard, CT 28750",robert.morgan@accentureplc.com
Cisco Systems,CSCO,DHL Express,DHL.DE,Logistics Partner,12.98,International Shipping,2025-01-18,7958720.13,"PSC 0523, Box 1244, APO AA 26615",javier.diaz@dhlexpress.com
Boeing Co,BA,Accenture plc,ACN,Service Provider,13.69,IT Services,2024-09-30,7977624.46,"8925 Brandon Knolls Apt. 674, Fowlerborough, MN 71455",richard.foley@accentureplc.com
Lockheed Martin,LMT,Iron Mountain,IRM,Service Provider,5.02,Data Storage,2023-01-05,5477470.25,"019 Timothy Spurs, Ronaldmouth, KS 69365",mark.gutierrez@ironmountain.com
Johnson & Johnson,JNJ,Iron Mountain,IRM,Service Provider,4.29,Data Storage,2025-10-03,825049.31,"418 Joe Spur, Lesterville, CO 58756",christopher.brown@ironmountain.com
Intel Corp,INTC,SK Hynix,000660.KS,Direct Supplier,4.55,DRAM,2023-10-21,7575048.1,"118 George Coves Suite 525, New Emilystad, OK 43741",tammy.moreno@skhynix.com
Johnson & Johnson,JNJ,West Pharmaceutical,WST,Direct Supplier,14.59,Delivery Systems,2022-04-10,378412.4,,
Intel Corp,INTC,DHL Express,DHL.DE,Logistics Partner,7.62,International Shipping,2023-02-13,8400327.02,"385 Fox Island, South Rhonda, MA 72102",monique.fitzgerald@dhlexpress.com
Home Depot,HD,FedEx Corp,FDX,Logistics Partner,3.93,Express Delivery,2024-01-15,3379344.88,"41038 Morris Roads, Andersonshire, RI 71299",melissa.harrell@fedexcorp.com
Caterpillar Inc,CAT,IBM Corp,IBM,Service Provider,4.17,Cloud,2024-10-20,1306086.43,"814 Armstrong Gateway Suite 369, East Stacey, WI 23351",patricia.sheppard@ibmcorp.com
Qualcomm Inc,QCOM,Samsung Electronics,005930.KS,Contract Manufacturer,11.06,Memory Chips,2024-05-04,8539497.15,,
Johnson & Johnson,JNJ,,,Contract Manufacturer,7.9,Drug Delivery,2025-05-12,972824.1,,steven.tyler@catalentinc.com
Goldman Sachs,GS,Broadridge Financial,BR,Service Provider,,Trade Processing,2023-11-21,5935206.12,"4943 Sexton Expressway Suite 056, West Suzannestad, ID 33440",david.foster@broadridgefi.com
Intel Corp,INTC,Iron Mountain,IRM,Service Provider,10.17,Data Storage,2022-04-29,3863852.66,,
Alphabet Inc,GOOGL,SAP SE,SAP,Service Provider,19.47,Business Software,2025-02-08,2246036.71,,
Procter & Gamble,PG,FedEx Corp,FDX,Logistics Partner,17.02,Express Delivery,2025-06-19,1072298.93,"573 Macdonald Extensions Apt. 277, North Jonathanborough, MA 70066",amanda.colon@fedexcorp.com
FactSet Research,FDS,,,Logistics Partner,8.06,Express Delivery,2022-07-03,2524786.45,"2188 Gutierrez Locks, Knightport, CO 32285",angela.richard@fedexcorp.com
Merck & Co,MRK,,,Contract Manufacturer,30.57,Fill/Finish,2023-10-16,7355287.56,"6157 Nicole Mill, East Austin, AK 94838",gregory.williams@catalentinc.com
Texas Instruments,TXN,ASML Holding,ASML,Direct Supplier,14.7,DUV Systems,2024-05-20,2549118.74,"6241 Roberto Lodge Suite 680, Stephaniemouth, OK 53230",dakota.rodriguez@asmlholding.com
Salesforce Inc,CRM,Amazon Web Services,AMZN,Service Provider,7.77,Compute,2025-06-25,4851403.56,"9317 Perry Burgs Suite 302, Lake Sarahmouth, IL 59895",heather.ramsey@amazonwebser.com
AMD Inc,AMD,Iron Mountain,IRM,Service Provider,6.85,Data Storage,2024-04-02,6194343.83,"6844 Stacey Oval Apt. 379, Port Jacobberg, CO 11766",billy.sosa@ironmountain.com
Costco Wholesale,COST,FedEx Corp,FDX,Logistics Partner,5.8,Express Delivery,2024/31/12,2226260.74,"USNS Johnson, FPO AE 39563",erika.brown@fedexcorp.com
Goldman Sachs,GS,Fiserv Inc,FI,Service Provider,3.0,Digital Banking,2025-04-08,6652940.45,"7848 Taylor Square Apt. 997, Millsside, ME 46005",anthony.alvarado@fiservinc.com
Oracle Corp,ORCL,Deloitte,DLT,Service Provider,6.65,Audit,2024-12-19,7331411.36,,jacob.singh@deloitte.com
Walt Disney Co,DIS,FedEx Corp,FDX,Logistics Partner,13.56,Express Delivery,2024-08-15,2715962.74,"46739 Cheryl Alley Apt. 141, Yatestown, OR 12604",kathleen.smith@fedexcorp.com
Starbucks Corp,SBUX,IBM Corp,IBM,Service Provider,6.98,IT Infrastructure,2024-04-16,8670227.97,"430 Wolf Inlet, Bradleyside, SC 77663",heidi.roberson@ibmcorp.com
Qualcomm Inc,QCOM,Lam Research,LRCX,Direct Supplier,10.76,Etch Equipment,2022-07-12,4074670.44,,
Tesla Inc,TSLA,UPS Inc,UPS,Logistics Partner,7.88,Shipping,2025-06-05,8504890.06,"536 Nicholas Burgs Suite 152, North Justin, MP 62426",nicole.arias@upsinc.com
JPMorgan Chase,JPM,SS&C Technologies,SSNC,Service Provider,9.42,Fund Administration,2023-07-19,6104863.8,"732 Meyer Forge, Carrilloshire, HI 10962",jason.lyons@ss&ctechnolo.com
Johnson & Johnson,JNJ,DHL Express,DHL.DE,Logistics Partner,18.72,International Shipping,2023-02-10,9258555.71,"650 Nicholas Rapid Suite 505, Wilkinsberg, DE 49081",joshua.dunn@dhlexpress.com
Goldman Sachs,GS,FedEx Corp,FDX,Logistics Partner,14.51,Express Delivery,00-00-0000,1445790.56,"USS Diaz, FPO AA 10326",jeff.yates@fedexcorp.com
Ford Motor Co,F,BorgWarner Inc,BWA,Direct Supplier,14.0,Drivetrain,2023-10-04,1856315.79,,jamie.villegas@borgwarnerin.com
Apple Inc,AAPL,DHL Express,DHL.DE,Logistics Partner,2.81,International Shipping,2025-01-22,9439955.86,"00245 Nelson Roads Suite 939, Salazarbury, TN 99700",edwin.becker@dhlexpress.com
Home Depot,HD,DHL Express,DHL.DE,Logistics Partner,low,International Shipping,2022-05-15,4569902.87,,eric.martinez@dhlexpress.com
NVIDIA Corp,NVDA,Lam Research,LRCX,Direct Supplier,,Deposition Systems,2022-03-30,7310831.28,"Unit 0184 Box 5146, DPO AE 59971",wendy.rice@lamresearch.com
NVIDIA Corp,NVDA,ASE Technology,ASX,Contract Manufacturer,20.09,Semiconductor Packaging,2023-05-17,1675854.81,"3178 Brent Plains Apt. 132, Tuckerborough, VI 53066",james.west@asetechnolog.com
Alphabet Inc,GOOGL,Workday Inc,WDAY,Service Provider,1.31,Finance,2025-08-03,7890538.67,"09647 Anderson Route Apt. 268, Lake Kevin, NJ 03670",drew.owen@workdayinc.com
Tesla Inc,TSLA,Nvidia Corp,NVDA,Direct Supplier,31.84,Autonomous Driving Chips,2022-12-14,6605564.91,"706 Rhodes Freeway, Bishopmouth, IN 70494",marie.wise@nvidiacorp.com
Nike Inc,NKE,Accenture plc,ACN,Service Provider,12.13,IT Services,2025-11-30,5191526.43,"99645 Thompson Greens Apt. 840, Port Trevor, TN 10260",lance.curtis@accentureplc.com
Oracle Corp,ORCL,SAP SE,SAP,Service Provider,15.45,Business Software,2022-11-24,5254569.26,,sandra.miller@sapse.com
NVIDIA Corp,NVDA,Lam Research,LRCX,Direct Supplier,3.52,Deposition Systems,2022-12-18,6481076.24,,
Oracle Corp,ORCL,Globex Industries,GLBX,Service Provider,14.11,Cloud Infrastructure,2023-06-06,7912445.25,"9972 Mccarty Spurs Apt. 677, Dawnberg, WA 01335",ian.garcia@amazonwebser.com
FactSet Research,FDS,Accenture plc,ACN,Service Provider,17.38,IT Services,2022-02-17,3432567.72,"37887 Mark Plains, Carloshaven, AR 50887",william.vasquez@accentureplc.com
Costco Wholesale,COST,FedEx Corp,FDX,Logistics Partner,9.07,Express Delivery,2025-06-30,8338555.17,"91027 Knox Groves Suite 142, Emmabury, GA 11073",james.kane@fedexcorp.com
Salesforce Inc,CRM,Iron Mountain,IRM,Service Provider,8.35,Data Storage,2023-05-28,7971042.55,,
Alphabet Inc,GOOGL,Deloitte,DLT,Service Provider,11.63,Audit,2023-08-27,8506796.67,"30600 James Ferry Suite 550, Ruthberg, GA 38289",john.stokes@deloitte.com
Amazon.com Inc,AMZN,DHL Express,DHL.DE,Logistics Partner,2.87,International Shipping,2025-08-20,2884708.68,,jessica.burns@dhlexpress.com
Boeing Co,BA,SAP SE,SAP,Service Provider,1.15,Business Software,2023-07-27,9007074.79,"PSC 0770, Box 0409, APO AE 02152",john.estrada@sapse.com
Boeing Co,BA,IBM Corp,IBM,Service Provider,17.01,Cloud,2025-11-26,6864277.67,"6703 Nicolas Shoals, Patelport, AZ 71482",brian.bond@ibmcorp.com
Alphabet Inc,GOOGL,DHL Express,DHL.DE,Logistics Partner,12.65,International Shipping,2023-12-05,5373580.95,"99570 Griffin Stravenue, Sparksburgh, SC 56205",jennifer.frey@dhlexpress.com
Salesforce Inc,CRM,ServiceNow Inc,NOW,Service Provider,3.62,IT Service Management,2022-07-14,3159856.08,"58328 Kristie Estate Suite 886, West Jeffreyborough, TN 44001",christina.stanley@servicenowin.com
Home Depot,HD,Workday Inc,WDAY,Service Provider,7.06,HR Software,2025-11-20,7338253.25,,
PepsiCo Inc,PEP,Deloitte,DLT,Service Provider,7.38,Audit,2024-10-26,8123998.92,"170 Scott Gardens, Brownberg, GU 30068",laura.lutz@deloitte.com
FactSet Research,FDS,Workday Inc,WDAY,Service Provider,13.28,HR Software,2022-07-05,8518262.46,,johnny.davis@workdayinc.com
Apple Inc,AAPL,UPS Inc,UPS,Logistics Partner,15.61,Supply Chain,2023-03-12,9067720.6,"157 Alexandria Brooks Apt. 805, East Aaronhaven, AL 01111",christopher.green@upsinc.com
FactSet Research,FDS,Deloitte,DLT,Service Provider,17.81,Consulting,2022-09-12,3879018.81,"79531 Daniel Garden, Barbaraview, VI 22372",joseph.sutton@deloitte.com
FactSet Research,FDS,Iron Mountain,IRM,Service Provider,6.36,Data Storage,2024-03-05,4031788.43,,
Intel Corp,INTC,,,Direct Supplier,15.72,DRAM,2024-06-02,473043.56,"4299 Phillip Harbor Suite 686, Fredton, MS 19082",pamela.martinez@skhynix.com
Alphabet Inc,GOOGL,Globex Industries,GLBX,Logistics Partner,17.02,International Shipping,2023-03-07,4654550.64,,
Cisco Systems,CSCO,FedEx Corp,FDX,Logistics Partner,4.34,Freight,2022-03-19,948060.9,"9064 Snyder Row Apt. 591, East Brandontown, DC 14281",joshua.molina@fedexcorp.com
PepsiCo Inc,PEP,Workday Inc,WDAY,Service Provider,4.52,HR Software,2022-01-29,2686896.55,,derek.walton@workdayinc.com
Chevron Corp,CVX,Baker Hughes,BKR,Direct Supplier,4.96,Oilfield Equipment,2023-07-29,1308407.93,"99972 Carl Island Apt. 927, Port Laurashire, IL 95585",vanessa.bates@bakerhughes.com
Texas Instruments,TXN,Applied Materials,AMAT,Direct Supplier,12.01,Deposition Equipment,2023-06-14,2476578.61,,
Broadcom Inc,AVGO,Iron Mountain,IRM,Service Provider,13.84,Records Management,2024-04-15,3635272.09,"742 Rhonda Island, Port Jennifer, MA 87691",nicole.booth@ironmountain.com
General Electric,GE,Deloitte,DLT,Service Provider,17.64,Consulting,2022-10-21,295711.29,"9555 Micheal Isle Apt. 082, South Samuel, MA 39825",kelly.young@deloitte.com
Oracle Corp,ORCL,Datadog Inc,DDOG,Service Provider,12.79,Monitoring,2023-11-24,6772782.42,,
Qualcomm Inc,QCOM,Lam Research,LRCX,Direct Supplier,16.22,Deposition Systems,2023-01-20,5208471.95,"438 Julie Hill, Port Rachaelbury, NM 51079",carol.lawson@lamresearch.com
Broadcom Inc,AVGO,Iron Mountain,IRM,Service Provider,17.46,Data Storage,2022-09-16,7519403.47,,
Ford Motor Co,F,UPS Inc,UPS,Logistics Partner,11.78,Supply Chain,2024-03-03,1968337.61,,
General Motors,GM,Robert Bosch,BOSCH.DE,Direct Supplier,1.5,Fuel Injection,2023-03-17,7994287.02,,
JPMorgan Chase,JPM,Workday Inc,WDAY,Service Provider,14.67,Finance,2025-09-27,2371586.12,,
NVIDIA Corp,NVDA,Samsung Electronics,005930.KS,Contract Manufacturer,3.96,Memory Chips,2023-09-21,3756410.8,"6508 Patty Glen Apt. 178, Ericbury, PA 13335",jocelyn.moore@samsungelect.com
Boeing Co,BA,Raytheon Technologies,RTX,Direct Supplier,15.87,Avionics,2025-05-17,2093741.81,"PSC 4845, Box 5939, APO AA 43264",jonathan.parker@raytheontech.com
Starbucks Corp,SBUX,SAP SE,SAP,Service Provider,6.71,Business Software,2024-05-31,9968327.64,,
Adobe Inc,ADBE,Amazon Web Services,AMZN,Service Provider,15.53,Cloud Infrastructure,2024-10-06,9943612.89,"380 Tran Estates, Kirbyburgh, TN 74498",crystal.nguyen@amazonwebser.com
Eli Lilly,LLY,ServiceNow Inc,NOW,Service Provider,19.75,IT Service Management,2025-12-03,9056767.48,"075 Fox Stream Suite 974, Weberton, MD 21633",andrew.herrera@servicenowin.com
Microsoft Corp,MSFT,Datadog Inc,DDOG,Service Provider,3.47,Monitoring,2025-10-07,6472732.85,"Unit 1745 Box 9615, DPO AP 70443",douglas.pitts@datadoginc.com
AMD Inc,AMD,Samsung Electronics,005930.KS,Contract Manufacturer,4.53,Foundry Services,2024-12-10,3900168.32,,susan.lane@samsungelect.com
Caterpillar Inc,CAT,Oscorp Industries,OSCP,Direct Supplier,4.53,Process Control,2024-11-23,8347359.56,,kenneth.wallace@emersonelect.com
Intel Corp,INTC,TSMC,TSM,Contract Manufacturer,18.53,Advanced Packaging,2025-02-17,5308421.06,,nathan.alvarez@tsmc.com
Merck & Co,MRK,Workday Inc,WDAY,Service Provider,1.49,Finance,2024-02-23,8745949.26,,
NVIDIA Corp,NVDA,Samsung Electronics,005930.KS,Contract Manufacturer,5.04,Memory Chips,2025-10-23,3481888.54,,christopher.perez@samsungelect.com
General Motors,GM,FedEx Corp,FDX,Logistics Partner,16.65,Freight,2022-10-23,5082569.61,"8607 Kenneth Way, Port Robert, PW 53729",tara.ortiz@fedexcorp.com
AMD Inc,AMD,SAP SE,SAP,Service Provider,2.53,Business Software,2023-05-30,2343853.51,"7772 Jackson Stravenue Suite 280, Port Melanieton, WV 01337",noah.whitaker@sapse.com
Texas Instruments,TXN,Lam Research,LRCX,Direct Supplier,10.16,Etch Equipment,2022-08-06,7627688.44,,tracy.hobbs@lamresearch.com
PepsiCo Inc,PEP,IBM Corp,IBM,Service Provider,10.89,IT Infrastructure,2025-07-08,275768.17,"449 Mitchell Ports, Natalieview, AK 69421",ashley.munoz@ibmcorp.com
General Electric,GE,,,Logistics Partner,18.93,Freight,2024-06-25,1498563.84,"7732 Tyler Keys, East Robertshire, WV 87433",christine.jefferson@fedexcorp.com
General Motors,GM,Denso Corp,6902.T,Tier 2 Supplier,-19.58,HVAC Systems,2023-01-18,8397412.18,,christine.lee@densocorp.com
Merck & Co,MRK,Accenture plc,ACN,Service Provider,2.25,Consulting,2022-01-31,3870111.27,,shawn.greene@accentureplc.com
PepsiCo Inc,PEP,IBM Corp,IBM,Service Provider,2.01,Cloud,2022-11-01,592943.32,"3504 Brown Village, Higginsmouth, MO 85158",trevor.weaver@ibmcorp.com
Chevron Corp,CVX,ServiceNow Inc,NOW,Service Provider,,IT Service Management,2025-09-26,4747990.04,,timothy.davidson@servicenowin.com
Eli Lilly,LLY,Charles River Labs,CRL,Service Provider,16.33,Safety Testing,2025-01-21,9452160.14,"2600 Michael Plains Apt. 188, North Hollytown, AL 44040",sarah.young@charlesriver.com
Caterpillar Inc,CAT,Workday Inc,WDAY,Service Provider,115.94,Finance,2023-11-06,4430218.07,"9090 Eric Isle Suite 636, New Paulfort, CT 43602",karen.farmer@workdayinc.com
Caterpillar Inc,CAT,Parker Hannifin,PH,Direct Supplier,5.26,Hydraulics,2022-09-26,2151342.78,"51028 Coleman Mountains Suite 481, New Phillip, WI 51033",sarah.mendez@parkerhannif.com
Texas Instruments,TXN,Sumco Corp,3436.T,Direct Supplier,9.36,Silicon Wafers,2025-06-18,3430853.66,"262 Mcdonald Manor, South Heatherport, DE 66749",ivan.lane@sumcocorp.com
Oracle Corp,ORCL,Palo Alto Networks,PANW,Service Provider,4.86,Network Security,2025-03-31,1229249.01,"48831 Scott Estates Suite 783, Brandonshire, MP 90362",jennifer.atkins@paloaltonetw.com
Merck & Co,MRK,Lonza Group,LONN.SW,Contract Manufacturer,5.97,Drug Substance,2024-07-21,9445438.96,"481 Myers Bridge, South Ashleyland, PA 57056",jonathan.garcia@lonzagroup.com
Coca-Cola Co,KO,FedEx Corp,FDX,Logistics Partner,5.0,Freight,2022-11-27,6490229.38,"168 Christine Extension, Mitchellberg, MH 14105",evan.payne@fedexcorp.com
Texas Instruments,TXN,Accenture plc,ACN,Service Provider,18.53,IT Services,2022-05-07,6138441.06,"4608 Heather Parks, West Benjaminside, MP 31445",kimberly.pugh@accentureplc.com
Amazon.com Inc,AMZN,Deloitte,DLT,Service Provider,5.17,Consulting,2025-12-13,8989840.42,"5857 Foster Hills Suite 192, Devinshire, IA 35282",austin.tucker@deloitte.com
Ford Motor Co,F,Workday Inc,WDAY,Service Provider,19.32,HR Software,2023-05-22,821369.74,"42168 Robert Parkway, East Gloria, SC 65934",christopher.brown@workdayinc.com
Microsoft Corp,MSFT,ServiceNow Inc,NOW,Service Provider,7.87,IT Service Management,2023-09-13,7266577.73,,
FactSet Research,FDS,DHL Express,DHL.DE,Logistics Partner,9.28,International Shipping,2025-11-09,2632873.59,,
Goldman Sachs,GS,Deloitte,DLT,Service Provider,-39.56,Consulting,2022-03-03,6622108.03,,katherine.lewis@deloitte.com
Alphabet Inc,GOOGL,Workday Inc,WDAY,Service Provider,8.62,Finance,2024-04-26,2423824.15,"841 Odonnell Courts Apt. 374, South Timothyview, IA 31079",brittany.jennings@workdayinc.com
Adobe Inc,ADBE,Cloudflare Inc,NET,Service Provider,3.13,Security,2023-01-07,8705133.93,"3364 Taylor Street, Nataliemouth, NV 47521",michael.stewart@cloudflarein.com
Broadcom Inc,AVGO,IBM Corp,IBM,Service Provider,15.16,IT Infrastructure,2023-05-08,215049.95,"14948 Francisco Pine, New Amyhaven, VT 09706",nicole.zimmerman@ibmcorp.com
AMD Inc,AMD,SK Hynix,000660.KS,Direct Supplier,9.6,NAND Flash,2025-10-25,8416715.36,,
Lockheed Martin,LMT,Iron Mountain,IRM,Service Provider,4.28,Data Storage,2023-07-30,1488605.92,,
Boeing Co,BA,Safran SA,SAF.PA,Direct Supplier,7.18,Landing Gear,2025-01-05,1889653.99,"Unit 1103 Box 4956, DPO AE 10811",jorge.johnson@safransa.com
Tesla Inc,TSLA,LG Energy Solution,373220.KS,Direct Supplier,2.21,EV Batteries,2024-09-16,9512189.62,,
Microsoft Corp,MSFT,CrowdStrike,CRWD,Service Provider,4.54,Endpoint Security,2024-10-16,4661864.27,"56476 Ryan Land Suite 579, East Lindabury, MO 82870",jennifer.barber@crowdstrike.com
Johnson & Johnson,JNJ,,,Direct Supplier,10.27,Reagents,2024-03-09,9606389.75,,
Caterpillar Inc,CAT,Acme Widget Corp,ACME,Direct Supplier,4.62,Automation,2024-12-23,2295432.88,"361 Martinez Creek, South Kathryn, VT 38285",henry.kelly@emersonelect.com
Broadcom Inc,AVGO,SAP SE,SAP,Service Provider,6.52,ERP,2024-06-14,837872.15,"19360 Robert Brooks Apt. 770, Ricardofurt, DE 90296",amber.thompson@sapse.com
Caterpillar Inc,CAT,Deloitte,DLT,Service Provider,7.71,Audit,2025-06-21,650518.74,,bruce.lynch@deloitte.com
Goldman Sachs,GS,ServiceNow Inc,NOW,Service Provider,5.93,IT Service Management,2025-03-23,9950492.14,"987 Cassie Village, Port Timothy, KY 47816",gregory.reyes@servicenowin.com
Qualcomm Inc,QCOM,FedEx Corp,FDX,Logistics Partner,13.59,Express Delivery,2023-04-24,1089382.83,,
Microsoft Corp,MSFT,Deloitte,DLT,Service Provider,18.99,Audit,2024-06-21,579739.11,"Unit 4755 Box 5773, DPO AA 90501",brett.cortez@deloitte.com
Tesla Inc,TSLA,Iron Mountain,IRM,Service Provider,7.22,Records Management,2025-08-13,6618639.35,"36914 Davis Rue, East Williamfort, TX 77889",amber.barnes@ironmountain.com
AMD Inc,AMD,Umbrella Corp,UMBR,Direct Supplier,8.64,DRAM Modules,2024-12-04,9656463.63,"339 Alicia Pines Suite 191, Port Amyhaven, ID 75566",spencer.zhang@microntechno.com
Chevron Corp,CVX,TechnipFMC,FTI,Service Provider,15.07,Subsea Systems,2025-12-29,1375013.96,,
